Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	pcad  Physeter catodon (sperm whale)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ecb  Equus caballus (horse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	epz  Equus przewalskii (Przewalski's horse)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	eai  Equus asinus (ass)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	myb  Myotis brandtii (Brandt's bat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	myd  Myotis davidii
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mna  Miniopterus natalensis
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	hai  Hipposideros armiger (great roundleaf bat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	dro  Desmodus rotundus (common vampire bat)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	pale  Pteropus alecto (black flying fox)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	ray  Rousettus aegyptiacus (Egyptian rousette)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mjv  Manis javanica (Malayan pangolin)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	lav  Loxodonta africana (African savanna elephant)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	tmu  Trichechus manatus latirostris (Florida manatee)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	mdo  Monodelphis domestica (opossum)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	shr  Sarcophilus harrisii (Tasmanian devil)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	pcw  Phascolarctos cinereus (koala)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Mammals (66)	oaa  Ornithorhynchus anatinus (platypus)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	gga  Gallus gallus (chicken)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	mgp  Meleagris gallopavo (turkey)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	cjo  Coturnix japonica (Japanese quail)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	nmel  Numida meleagris (helmeted guineafowl)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	apla  Anas platyrhynchos (mallard)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	acyg  Anser cygnoides domesticus (swan goose)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	tgu  Taeniopygia guttata (zebra finch)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	lsr  Lonchura striata domestica (Bengalese finch)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	scan  Serinus canaria (common canary)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	gfr  Geospiza fortis (medium ground-finch)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	fab  Ficedula albicollis (collared flycatcher)
Eukaryotes (542)	Animals (250)	Vertebrates (146)	Birds (24)	phi  Pseudopodoces humilis (Tibetan ground-tit)
